item_id,category_code,std_name,std_spec,std_unit,part_type,maker,maker_pn,supplier,department,model_ref,stock_prev,stock_current,safety_stock,moq,lead_time,source_file,source_sheet,source_row,original_name_a,original_name_bc,mapping_status,notes,created_at
RM-000131,RM,"X-CAP 체결형 (구형, 일본용) ABS 난연 화이트 + 진한 회색",ABS 난연 화이트 + 진한 회색,,ABS 난연,,,천우,,,0.0,,,,,A,26.03월,134,"X-CAP 체결형 (구형, 일본용)",,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000132,RM,"X-CAP 체결형 스프레이 X (구형, 일본용) ABS 난연 화이트",ABS 난연 화이트,,ABS 난연,,,천우,,,0.0,,,,,A,26.03월,135,"X-CAP 체결형 스프레이 X (구형, 일본용)",,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000134,RM,메디컬용 컬리메타 ABS 난연 블랙,ABS 난연 블랙,,ABS 난연,,,금오몰드,,,61.0,,,,,A,26.03월,137,메디컬용 컬리메타,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000135,RM,메디컬용 컬리메타 CAP ABS 난연 블랙 + 블랙 무광,ABS 난연 블랙 + 블랙 무광,,ABS 난연,,,금오몰드,,,106.0,,,,,A,26.03월,138,메디컬용 컬리메타 CAP,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000141,RM,메디컬용 십자아크릴 (66*66),,,아크릴,,,,,,124.0,,,,,A,26.03월,144,메디컬용 십자아크릴 (66*66),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000177,RM,에이밍 앞 사출 블랙 유광,블랙 유광,,ABS 난연,,,천우,,,295.0,,,,,A,26.03월,180,에이밍 앞 사출,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000193,RM,에이밍 방사구 젠더,,,ABS 난연,,,다우정밀,,,0.0,,,,,A,26.03월,196,에이밍 방사구 젠더,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000212,RM,에이밍 앞 사출 블랙 무광,블랙 무광,,ABS 난연,,,천우,,,488.0,,,,,A,26.03월,215,에이밍 앞 사출,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000255,RM,마운트 삼각대 고정홀,삼각대 고정홀,,AL,,,,,,248.0,,,,,A,26.03월,258,마운트,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000257,RM,에이밍 바디 뭉치 ø33*19.3,ø33*19.3,,ABS 난연,,,오비스코리아,,,0.0,,,,,A,26.03월,260,에이밍 바디 뭉치,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000285,RM,TOP ABS 난연 화이트,ABS 난연 화이트,,ABS 난연,,,천우,,,0.0,,,,,A,26.03월,288,TOP,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000286,RM,BOTTOM ABS 난연 화이트,ABS 난연 화이트,,ABS 난연,,,천우,,,0.0,,,,,A,26.03월,289,BOTTOM,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000292,RM,GUIDE 스프레이 X ABS 난연 화이트,ABS 난연 화이트,,ABS 난연,,,천우,,,4840.0,,,,,A,26.03월,295,GUIDE 스프레이 X,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000318,RM,Q 클립,,,클립,,,직구,,,0.0,,,,,A,26.03월,321,Q 클립,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000319,RM,L 클립,,,클립,,,직구,,,0.0,,,,,A,26.03월,322,L 클립,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000352,RM,일체형 컬리메이터 ABS 난연 블랙,ABS 난연 블랙,,ABS 난연,,,금오몰드,,,0.0,,,,,A,26.03월,355,일체형 컬리메이터,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000375,RM,Bottom Block AL 가공 + 흑색 아노다이징,AL 가공 + 흑색 아노다이징,,AL,,,제이케이시스템,,,27.0,,,,,A,26.03월,378,Bottom Block,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000384,RM,자석,,,자석,,,일성마그네트,,,0.0,,,,,A,26.03월,387,자석,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000390,RM,기본 배터리 LIP1902A 18.5V 5S 50C 2100mAh,LIP1902A 18.5V 5S 50C 2100mAh,,배터리,,,비앤테크,,,190.0,,,,,A,26.03월,393,기본 배터리,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000401,RM,20.7V 1.7A 충전기 5S 어댑터,5S 어댑터,,ADAPTER,,,브리지파워,,,1040.0,,,,,A,26.03월,404,20.7V 1.7A 충전기,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000402,RM,25.2V 1.7A 충전기 6S 어댑터 (중국용),6S 어댑터 (중국용),,ADAPTER,,,브리지파워,,,7.0,,,,,A,26.03월,405,25.2V 1.7A 충전기,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000407,RM,외부 배터리 와이어 케이블,,,CABLE,,,HLP,,,0.0,,,,,A,26.03월,410,외부 배터리 와이어 케이블,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000414,RM,가방+내장재 X,,,가방,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,417,가방+내장재 X,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000421,RM,가방 (뱅가드),,,가방,,,수프림,,,0.0,,,,,A,26.03월,424,가방 (뱅가드),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000422,RM,FDXD-810 센서 가방 (뱅가드),,,가방,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,425,FDXD-810 센서 가방 (뱅가드),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000423,RM,계란판,,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,426,계란판,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000424,RM,계란판,,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,427,계란판,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000433,RM,가방 내부 폼 상판 (신형),,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,436,가방 내부 폼 상판 (신형),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000434,RM,가방 내부 폼 중간판 (신형),,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,437,가방 내부 폼 중간판 (신형),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000435,RM,가방 내부 폼 하판 (신형),,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,438,가방 내부 폼 하판 (신형),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000436,RM,가방 내장재 47 * 36.5 * 2.5T,47 * 36.5 * 2.5T,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,439,가방 내장재,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000437,RM,가방 내장재 47 * 36.5 * 5.5T,47 * 36.5 * 5.5T,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,440,가방 내장재,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000438,RM,가방 내장재 47 * 36.5 * 7.5T,47 * 36.5 * 7.5T,,PU FOAM,,,굿모닝코리아유통,,,0.0,,,,,A,26.03월,441,가방 내장재,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
