item_id,source_file,source_sheet,source_row,original_name
RM-000067,C,고압,101,베이클라이트 하우징 파이프
RM-000068,A,26.03월,71,NC 케이스
RM-000068,C,고압,107,(nc)케이스
RM-000069,A,26.03월,72,NC 케이스
RM-000069,C,고압,107,(nc)케이스
RM-000070,A,26.03월,73,PE케이스 거치대
RM-000070,C,고압,108,PE케이스거치대
RM-000071,A,26.03월,74,신주 케이스
RM-000071,C,고압,119,신주케이스
RM-000072,A,26.03월,75,신주 케이스
RM-000072,C,고압,119,신주케이스
RM-000073,A,26.03월,76,신주 케이스
RM-000073,C,고압,119,신주케이스
RM-000074,A,26.03월,77,신주 케이스
RM-000074,C,고압,119,신주케이스
RM-000075,A,26.03월,78,신주 케이스
RM-000075,C,고압,119,신주케이스
RM-000076,A,26.03월,79,신주 케이스 뚜껑
RM-000076,C,고압,112,신주케이스 뚜껑
RM-000077,A,26.03월,80,신주 케이스 뚜껑
RM-000077,C,고압,112,신주케이스 뚜껑
RM-000078,A,26.03월,81,신주 케이스 뚜껑
RM-000078,C,고압,112,신주케이스 뚜껑
RM-000079,A,26.03월,82,방사구
RM-000080,A,26.03월,83,방사구
RM-000081,A,26.03월,84,방사구 너트
RM-000081,C,고압,131,방사구 너트
RM-000082,A,26.03월,85,알루미늄 필터
RM-000082,B,조립 자재,31,알루미늄 필터 [0.8T * Φ63]
RM-000083,A,26.03월,86,알루미늄 필터
RM-000083,C,고압,30,1.2T 알루미늄 필터
RM-000084,A,26.03월,87,알루미늄 필터
RM-000084,C,고압,29,2T 알루미늄 필터
RM-000085,A,26.03월,88,방사구 오링
RM-000085,C,고압,32,오링 (2*18)
RM-000086,A,26.03월,89,3 PIN 커넥터
RM-000087,A,26.03월,90,4 PIN 커넥터
RM-000088,A,26.03월,91,7핀 B/D
RM-000088,C,고압,64,7핀 BD [190*88*1.6T*2L]
RM-000089,A,26.03월,92,9핀 B/D - TFT
RM-000090,A,26.03월,93,8핀 B/D
RM-000090,C,고압,65,8핀 BD
RM-000091,A,26.03월,94,9핀 B/D
RM-000091,C,고압,68,9핀 BD
RM-000092,A,26.03월,95,10핀 B/D
RM-000092,C,고압,66,10핀 BD
RM-000093,A,26.03월,96,CTR B/D (유럽용)
RM-000093,B,조립 자재,515,CTR _BD
RM-000094,A,26.03월,97,CTR B/D (미국용)
RM-000094,B,조립 자재,515,CTR _BD
RM-000095,A,26.03월,98,CTR B/D (TFT용)
RM-000095,B,조립 자재,515,CTR _BD
RM-000096,A,26.03월,99,LCD B/D (듀얼 슬라이드)
RM-000096,B,조립 자재,9,FRONT COVER (듀얼 슬라이드)
RM-000097,A,26.03월,100,TFT LCD B/D (듀얼 슬라이드)
RM-000097,B,조립 자재,41,LED DRIVE BD V3.0.1 (TFT CTR BD용)
RM-000098,A,26.03월,101,LCD B/D (사파리) -원버턴타입
RM-000098,B,조립 자재,39,LCD BD  (사파리) -원버턴타입
RM-000099,A,26.03월,102,OLED B/D (듀얼)
RM-000100,A,26.03월,103,EX B/D (듀얼) (좌)
RM-000100,B,조립 자재,35,EX BD (듀얼) - 왼쪽
RM-000101,A,26.03월,104,EX B/D (듀얼) (우)
RM-000101,B,조립 자재,35,EX BD (듀얼) - 왼쪽
RM-000102,A,26.03월,105,EX B/D 사파리 (원버턴)
RM-000102,B,조립 자재,37,EX BD (원버턴) - 사파리
RM-000103,A,26.03월,106,RELAY 쪽 보드
RM-000104,A,26.03월,107,AIM LED 쪽 보드
RM-000104,B,조립 자재,41,LED DRIVE BD V3.0.1 (TFT CTR BD용)
RM-000105,A,26.03월,108,LCD PANEL
RM-000105,B,조립 자재,4,"2.4"" TFT LCD 판넬"
RM-000106,A,26.03월,109,TFT LCD PANEL
RM-000106,B,조립 자재,4,"2.4"" TFT LCD 판넬"
RM-000107,A,26.03월,110,하네스 1번
RM-000107,B,조립 자재,33,FFC 20핀 - 하네스1
RM-000108,A,26.03월,111,하네스 4번
RM-000108,B,조립 자재,125,전원 및 EXP Wire  -8핀
RM-000109,A,26.03월,112,하네스 5번
RM-000109,B,조립 자재,34,EXP KEY 4핀 케이블 - 하네스5 (개당 2개씩)
RM-000110,A,26.03월,113,하네스 7번
RM-000110,B,조립 자재,218,"DF19G-20S-1C(0.5) (2EA) (160mm) (ADX6000s용)
LVDS 케이블 (하네스 7번)"
RM-000111,A,26.03월,114,하네스 8번
RM-000111,B,조립 자재,32,CJ4003 JACK  (관전류 짹 + 2핀케이블) - 하네스8
RM-000112,A,26.03월,115,LCD GUIDE
RM-000112,B,조립 자재,5,LCD GUIDE
RM-000113,A,26.03월,116,LCD GUIDE (사파리)
RM-000113,B,조립 자재,5,LCD GUIDE
RM-000114,A,26.03월,117,FRONT COVER (듀얼 슬라이드)
RM-000114,B,조립 자재,9,FRONT COVER (듀얼 슬라이드)
RM-000115,A,26.03월,118,FRONT COVER (듀얼 슬라이드)
RM-000115,B,조립 자재,9,FRONT COVER (듀얼 슬라이드)
RM-000116,A,26.03월,119,FRONT COVER (듀얼 슬라이드)
RM-000116,B,조립 자재,9,FRONT COVER (듀얼 슬라이드)
RM-000117,A,26.03월,120,REAR COVER
RM-000117,B,조립 자재,11,REAR COVER 
RM-000118,A,26.03월,121,REAR COVER
RM-000118,B,조립 자재,11,REAR COVER 
RM-000119,A,26.03월,122,BATTERY COVER
RM-000119,B,조립 자재,94,BATTERY COVER
RM-000120,A,26.03월,123,BATTERY COVER
RM-000120,B,조립 자재,94,BATTERY COVER
RM-000121,A,26.03월,124,BATTERY COVER
RM-000121,B,조립 자재,94,BATTERY COVER
RM-000122,A,26.03월,125,POWER BUTTON
RM-000122,B,조립 자재,8,POWER BUTTON
RM-000123,A,26.03월,126,EX BUTTON
RM-000123,B,조립 자재,16,EX BUTTON (개당 두개씩)
RM-000124,A,26.03월,127,NAVI KEY
RM-000124,B,조립 자재,6,NAVI KEY
RM-000125,A,26.03월,128,DECO GUIDE
RM-000125,B,조립 자재,171,Black Deco Guide
RM-000126,A,26.03월,129,20cm CONE
RM-000126,B,조립 자재,19,20cm CONE  
RM-000127,A,26.03월,130,20cm CONE
RM-000127,B,조립 자재,19,20cm CONE  
RM-000128,A,26.03월,131,15cm CONE
RM-000128,B,조립 자재,21,15cm CONE 
RM-000129,A,26.03월,132,X-CAP (기본)
RM-000129,B,조립 자재,22,X-CAP (기본)
RM-000130,A,26.03월,133,X-CAP 체결형 (신형)
RM-000130,B,조립 자재,23,X-CAP 체결형 (신형)
RM-000131,A,26.03월,134,"X-CAP 체결형 (구형, 일본용)"
RM-000131,B,조립 자재,23,X-CAP 체결형 (신형)
RM-000132,A,26.03월,135,"X-CAP 체결형 스프레이 X (구형, 일본용)"
RM-000132,B,조립 자재,23,X-CAP 체결형 (신형)
RM-000133,A,26.03월,136,CONE 젠더
RM-000133,B,조립 자재,61,CONE 젠더 (컬리메이터 결합용)
RM-000134,A,26.03월,137,메디컬용 컬리메타
RM-000135,A,26.03월,138,메디컬용 컬리메타 CAP
RM-000136,A,26.03월,139,LCD WINDOW
RM-000136,B,조립 자재,67,아크릴 투명 십자 Panel (66 x 66 mm)
RM-000137,A,26.03월,140,LCD LED
RM-000137,B,조립 자재,501,LCD_LED 확산 아크릴
RM-000138,A,26.03월,141,POWER LED
RM-000138,B,조립 자재,499,Aiming_Light _LED 확산 아크릴
RM-000139,A,26.03월,142,EX LED (좌)
RM-000139,B,조립 자재,499,Aiming_Light _LED 확산 아크릴
RM-000140,A,26.03월,143,EX LED (우)
RM-000140,B,조립 자재,499,Aiming_Light _LED 확산 아크릴
RM-000141,A,26.03월,144,메디컬용 십자아크릴 (66*66)
RM-000142,A,26.03월,145,알루미늄 필터
RM-000142,B,조립 자재,31,알루미늄 필터 [0.8T * Φ63]
RM-000143,A,26.03월,146,알루미늄 필터
RM-000143,B,조립 자재,412,알루미늄 필터 [1.5T * Φ63] (일본 동물용)
RM-000144,A,26.03월,147,HAND STRAP 손잡이
RM-000144,B,조립 자재,96,"HAND STRAP [AL(Cr도금), SUS Φ2.0]-손잡이(터치펜)"
RM-000145,A,26.03월,148,HAND STRAP 손잡이 (로고 없음)
RM-000145,B,조립 자재,96,"HAND STRAP [AL(Cr도금), SUS Φ2.0]-손잡이(터치펜)"
RM-000146,A,26.03월,149,고리 1
RM-000146,B,조립 자재,24,"가죽손잡이 고리1_ [AL(Cr도금), SUS Φ2.0]"
RM-000147,A,26.03월,150,고리 2
RM-000147,B,조립 자재,25,"가죽손잡이 고리2_ [AL(Cr도금), SUS Φ2.0 ]"
RM-000148,A,26.03월,151,CTR B/D
RM-000148,B,조립 자재,515,CTR _BD
RM-000149,A,26.03월,152,FET B/D
RM-000149,C,고압,77,FET BD
RM-000150,A,26.03월,153,POWER SWITCH BD
RM-000150,B,조립 자재,203,Power Switch B/D
RM-000151,A,26.03월,154,POWER SWITCH BD (Ver 3.0.0)
RM-000151,B,조립 자재,203,Power Switch B/D
RM-000152,A,26.03월,155,HANDLE CONNECTOR BD 신형 (신주 2핀)
RM-000152,B,조립 자재,330,CONNECTOR BD (신주 2핀)
RM-000153,A,26.03월,156,BATTERY BRIDGE BD
RM-000153,B,조립 자재,206,Battery Bridge B/D
RM-000154,A,26.03월,157,CRADLE BD
RM-000154,B,조립 자재,210,Cradle B/D
RM-000155,A,26.03월,158,OP & TOUCH BD
RM-000155,B,조립 자재,335,"OP BD+TOUCH BD_ Ass'y
  (Atmega128)_FFC케이블 케넥트 수정 (신형)"
RM-000156,A,26.03월,159,하네스 1번
RM-000156,B,조립 자재,322,"CTR BD 외부단자 2핀 (TX30(FEMALE)+YH396-02100mm 
(하네스 1번)"
RM-000157,A,26.03월,160,하네스 2번
RM-000157,B,조립 자재,323,"TX30(MALE)+DC022(2.5) 80mm 전원 외부단자 2핀 
(하네스 2번)"
RM-000158,A,26.03월,161,하네스 3번
RM-000158,B,조립 자재,324,"30핀 FFC CABLE 
(하네스 3번)"
RM-000159,A,26.03월,162,하네스 4번
RM-000159,B,조립 자재,325,"12505HS-02+SORDER 50mm 스피커 2핀 
(하네스 4번)"
RM-000160,A,26.03월,163,하네스 5번
RM-000160,B,조립 자재,326,"BATTERY BRIDGE BD 4핀 (YH396-04*2EA 150mm
 (하네스 5번)"
RM-000161,A,26.03월,164,하네스 7번
RM-000161,B,조립 자재,327,"12505HS-05 125mm POWER SWITCH BD 5핀
 (하네스 7번)"
RM-000162,A,26.03월,165,하네스 11번
RM-000162,B,조립 자재,328,"YH396-02+SORDER 80mm CRADLE 신주 연결 2핀 
(하네스 11번)"
